{-0.0512821, -0.25641, 1.89744, -1, 1.28205}
{-0.0512821, -0.25641, 2, -1, 0.25641}
{-0.0512821, -0.25641, 2, -1, 0.358974}
{-0.0512821, -0.25641, 2, -1, 0.564103}
{-0.0512821, -0.153846, 1.07692, -1, 1.58974}
{0.0512821, -0.153846, 0.358974, -1, 1.28205}
{0.0512821, -0.153846, 0.461538, -1, 1.48718}
{0.0512821, -0.153846, 0.461538, -1, 1.58974}
{0.0512821, -0.153846, 0.769231, -1, 1.07692}
{0.0512821, -0.153846, 0.871795, -1, 1.07692}
{0.0512821, -0.153846, 0.871795, -1, 1.79487}
{0.0512821, -0.153846, 0.871795, -1, 1.89744}
{0.0512821, -0.153846, 1.07692, -1, 0.871795}
{0.0512821, -0.153846, 1.28205, -1, 0.358974}
{0.0512821, -0.153846, 1.38462, -1, 0.564103}
{0.0512821, -0.153846, 1.38462, -1, 0.666667}
{0.0512821, -0.153846, 1.48718, -1, 1.28205}
{0.0512821, -0.153846, 1.48718, -1, 1.79487}
{0.0512821, -0.153846, 1.58974, -1, 1.89744}
{0.0512821, -0.153846, 1.69231, -1, 1.17949}
{0.0512821, -0.153846, 1.69231, -1, 1.58974}
{0.0512821, -0.153846, 2, -1, 1.48718}
{0.0512821, -0.153846, 2, -1, 1.58974}
{0.0512821, -0.153846, 2, -1, 1.79487}
{0.0512821, -0.0512821, 0.769231, -1, 1.89744}
{0.153846, -0.153846, 0.25641, -1, 0.153846}
{0.153846, -0.153846, 0.461538, -1, 0.153846}
{0.153846, -0.153846, 0.564103, -1, 0.461538}
{0.153846, -0.153846, 0.871795, -1, 0.461538}
{0.153846, -0.153846, 1.07692, -1, 0.358974}
{0.153846, -0.153846, 1.17949, -1, 0.564103}
{0.153846, -0.153846, 1.17949, -1, 0.666667}
{0.153846, -0.153846, 1.28205, -1, 1.28205}
{0.153846, -0.153846, 1.38462, -1, 0.461538}
{0.153846, -0.153846, 1.38462, -1, 0.871795}
{0.153846, -0.153846, 1.69231, -1, 0.461538}
{0.153846, -0.153846, 1.69231, -1, 0.871795}
{0.153846, -0.153846, 1.69231, -1, 1.79487}
{0.153846, -0.153846, 2, -1, 0.461538}
{0.153846, -0.0512821, 0.358974, -1, 1.89744}
{0.153846, -0.0512821, 0.564103, -1, 1.48718}
{0.153846, -0.0512821, 0.564103, -1, 1.69231}
{0.153846, -0.0512821, 0.871795, -1, 1.69231}
